stream,department,job_role,company_level,company_name,location,required_skills
Engineering,EEE,Maintenance Engineer,Startup,Nykaa,Chennai,Electrical Maintenance
Engineering,Civil,Safety Engineer,Startup,Vedantu,Hyderabad,Construction Safety
Engineering,EEE,Electrical Design Engineer,Startup,CRED,Ahmedabad,"AutoCAD, Power Systems"
Engineering,ECE,IoT Engineer,Startup,Quantiphi,Gurgaon,"Sensors, MQTT"
Engineering,Mechanical,Production Engineer,Startup,Dunzo,Coimbatore,Manufacturing Processes
Engineering,CSE,Cloud Engineer,Startup,CRED,Gurgaon,"AWS, Azure, Linux"
Engineering,EEE,Power Systems Engineer,Startup,Practo,Noida,Power Generation
Engineering,CSE,Data Analyst,Startup,Innovaccer,Mumbai,"Python, SQL, Excel, Power BI"
Engineering,ECE,Embedded Engineer,Startup,PolicyBazaar,Pune,"C, Embedded Systems"
Engineering,Mechanical,Production Engineer,Startup,Ola Electric,Pune,Manufacturing Processes
Engineering,EEE,Maintenance Engineer,Startup,Chargebee,Coimbatore,Electrical Maintenance
Engineering,ECE,VLSI Engineer,Startup,CRED,Mumbai,"VHDL, Verilog"
Engineering,CSE,Data Scientist,Startup,Ninjacart,Ahmedabad,"Python, ML, Pandas, NumPy"
Engineering,Civil,Safety Engineer,Startup,Ninjacart,Mumbai,Construction Safety
Engineering,Mechanical,Production Engineer,Startup,InMobi,Ahmedabad,Manufacturing Processes
Engineering,ECE,Network Engineer,Startup,Tredence,Gurgaon,"Networking, Routing"
Engineering,AI&DS,Data Analyst,Startup,Byjus,Coimbatore,"SQL, Python"
Engineering,CSE,Software Engineer,Startup,Swiggy,Ahmedabad,"Python, Java, DSA, OOP"
Engineering,AI&DS,AI Engineer,Startup,Innovaccer,Hyderabad,"Deep Learning, NLP"
Engineering,Civil,Structural Engineer,Startup,CRED,Kolkata,"ETABS, STAAD"
Engineering,Civil,Structural Engineer,Startup,Udaan,Gurgaon,"ETABS, STAAD"
Engineering,CSE,ML Engineer,Startup,Nykaa,Noida,"Python, TensorFlow, Scikit-learn"
Engineering,Civil,Planning Engineer,Startup,Slice,Coimbatore,"MS Project, Primavera"
Engineering,CSE,Cloud Engineer,Startup,Mu Sigma,Hyderabad,"AWS, Azure, Linux"
Engineering,CSE,ML Engineer,Startup,Byjus,Coimbatore,"Python, TensorFlow, Scikit-learn"
Engineering,Mechanical,Maintenance Engineer,Startup,Navi,Noida,Plant Maintenance
Engineering,CSE,DevOps Engineer,Startup,BigBasket,Noida,"Docker, Kubernetes, CI/CD"
Engineering,EEE,Maintenance Engineer,Startup,Vedantu,Noida,Electrical Maintenance
Engineering,Civil,Structural Engineer,Startup,Delhivery,Mumbai,"ETABS, STAAD"
Engineering,Mechanical,Maintenance Engineer,Startup,Vedantu,Mumbai,Plant Maintenance
Engineering,Mechanical,Design Engineer,Startup,Urban Company,Bengaluru,"AutoCAD, SolidWorks"
Engineering,EEE,Control Systems Engineer,Startup,Digit Insurance,Mumbai,"PLC, SCADA"
Engineering,Civil,Quantity Surveyor,Startup,Groww,Chennai,"Estimation, Billing"
Engineering,CSE,DevOps Engineer,Startup,Slice,Chennai,"Docker, Kubernetes, CI/CD"
Engineering,CSE,Software Engineer,Startup,Digit Insurance,Ahmedabad,"Python, Java, DSA, OOP"
Engineering,Mechanical,CAD Engineer,Startup,GreyOrange,Kolkata,"CATIA, NX"
Engineering,EEE,Power Systems Engineer,Startup,Postman,Mumbai,Power Generation
Engineering,Mechanical,CAD Engineer,Startup,Quantiphi,Kolkata,"CATIA, NX"
Engineering,Mechanical,Maintenance Engineer,Startup,Mu Sigma,Ahmedabad,Plant Maintenance
Engineering,Civil,Safety Engineer,Startup,Groww,Chennai,Construction Safety
Engineering,AI&DS,AI Engineer,Startup,Zetwerk,Bengaluru,"Deep Learning, NLP"
Engineering,Mechanical,CAD Engineer,Startup,Tredence,Gurgaon,"CATIA, NX"
Engineering,Mechanical,Quality Engineer,Startup,Navi,Gurgaon,Six Sigma
Engineering,CSE,DevOps Engineer,Startup,Vedantu,Pune,"Docker, Kubernetes, CI/CD"
Engineering,EEE,Energy Analyst,Startup,PhonePe,Coimbatore,Renewable Energy
Engineering,Civil,Planning Engineer,Startup,Ather Energy,Kolkata,"MS Project, Primavera"
Engineering,ECE,Signal Processing Engineer,Startup,Ninjacart,Pune,"MATLAB, DSP"
Engineering,Mechanical,CAD Engineer,Startup,Razorpay,Mumbai,"CATIA, NX"
Engineering,CSE,Cloud Engineer,Startup,Tiger Analytics,Kolkata,"AWS, Azure, Linux"
Engineering,CSE,ML Engineer,Startup,Digit Insurance,Chennai,"Python, TensorFlow, Scikit-learn"
Engineering,ECE,IoT Engineer,Startup,PolicyBazaar,Coimbatore,"Sensors, MQTT"
Engineering,CSE,ML Engineer,Startup,Digit Insurance,Bengaluru,"Python, TensorFlow, Scikit-learn"
Engineering,ECE,Embedded Engineer,Startup,Unacademy,Hyderabad,"C, Embedded Systems"
Engineering,Mechanical,CAD Engineer,Startup,Vedantu,Hyderabad,"CATIA, NX"
Engineering,Mechanical,Maintenance Engineer,Startup,PhysicsWallah,Noida,Plant Maintenance
