stream,department,job_role,company_level,company_name,location,required_skills
PG,MCA,System Architect,Startup,Fractal Analytics,Hyderabad,System Design
PG,MCA,Software Engineer,Startup,BrowserStack,Mumbai,"Java, Python"
PG,MBA,Product Manager,Startup,Navi,Chennai,Product Strategy
PG,MSc,Analytics Consultant,Startup,CRED,Pune,Data Analytics
PG,MBA,Business Analyst,Startup,BrowserStack,Bengaluru,Business Analysis
PG,MSc,Lab Scientist,Startup,Navi,Chennai,Advanced Lab Skills
PG,MBA,Product Manager,Startup,Slice,Chennai,Product Strategy
PG,MTech,Automation Engineer,Startup,BrowserStack,Gurgaon,Automation Tools
PG,MTech,Design Specialist,Startup,Innovaccer,Chennai,Advanced Design
PG,MCA,System Architect,Startup,Navi,Mumbai,System Design
PG,MTech,Project Engineer,Startup,BrowserStack,Bengaluru,Technical Projects
PG,MSc,Data Scientist,Startup,Postman,Gurgaon,"Python, Statistics"
PG,MCA,Software Engineer,Startup,Navi,Bengaluru,"Java, Python"
PG,MSc,Lab Scientist,Startup,Fractal Analytics,Bengaluru,Advanced Lab Skills
PG,MTech,Systems Engineer,Startup,Jupiter,Chennai,System Engineering
PG,MTech,Project Engineer,Startup,Innovaccer,Hyderabad,Technical Projects
PG,MTech,Design Specialist,Startup,BrowserStack,Bengaluru,Advanced Design
PG,MBA,HR Manager,Startup,Slice,Chennai,Human Resources
PG,MSc,Lab Scientist,Startup,Jupiter,Hyderabad,Advanced Lab Skills
PG,MCA,Cloud Engineer,Startup,CRED,Mumbai,"AWS, Azure"
PG,MTech,Design Specialist,Startup,Razorpay,Hyderabad,Advanced Design
PG,MBA,Marketing Manager,Startup,Zerodha,Bengaluru,Marketing Strategy
PG,MBA,Operations Manager,Startup,CRED,Bengaluru,Operations
PG,MBA,Operations Manager,Startup,Innovaccer,Mumbai,Operations
PG,MBA,HR Manager,Startup,BrowserStack,Gurgaon,Human Resources
PG,MSc,Analytics Consultant,Startup,BrowserStack,Mumbai,Data Analytics
PG,MBA,HR Manager,Startup,Groww,Bengaluru,Human Resources
PG,MSc,Data Scientist,Startup,Fractal Analytics,Mumbai,"Python, Statistics"
PG,MCA,Software Engineer,Startup,Razorpay,Hyderabad,"Java, Python"
PG,MCA,Cloud Engineer,Startup,Jupiter,Bengaluru,"AWS, Azure"
PG,MTech,Automation Engineer,Startup,Zerodha,Gurgaon,Automation Tools
PG,MTech,Systems Engineer,Startup,Fractal Analytics,Mumbai,System Engineering
PG,MBA,Marketing Manager,Startup,CRED,Hyderabad,Marketing Strategy
